gene	logFC	logCPM	LR	PValue	FDR
TMEM39B	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
ZBTB8OS	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
MAP7D1	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
HIVEP3	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
FOXJ3	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
PPIH	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
UROD	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
NASP	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
MAGOH	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
PKN2	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
HENMT1	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
TAF13	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
LAMTOR5	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
PHTF1	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
RP5-1073O3.7	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
TRIM33	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
NBPF10	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
RP11-403I13.8	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
FCGR1A	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
HIST2H2BE	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
ARNT	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
SNAPIN	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
INTS3	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
CLK2	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
ARHGEF2	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
